LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN0100100000000,01,001,"Autauga County, AL",2015,"25,308     ","23,981     ","1,327     ",5.2     
CN0100300000000,01,003,"Baldwin County, AL",2015,"87,316     ","82,525     ","4,791     ",5.5
CN0100500000000,01,005,"Barbour County, AL",2015,"8,625     ","7,854     ",771     ,8.9
CN0100700000000,01,007,"Bibb County, AL",2015,"8,490     ","7,929     ",561     ,6.6
CN0100900000000,01,009,"Blount County, AL",2015,"24,352     ","23,036     ","1,316     ",5.4
CN0101100000000,01,011,"Bullock County, AL",2015,"4,773     ","4,402     ",371     ,7.8
CN0101300000000,01,013,"Butler County, AL",2015,"9,142     ","8,452     ",690     ,7.5
CN0101500000000,01,015,"Calhoun County, AL",2015,"46,051     ","42,837     ","3,214     ",7.0
CN0101700000000,01,017,"Chambers County, AL",2015,"15,100     ","14,192     ",908     ,6.0
CN0101900000000,01,019,"Cherokee County, AL",2015,"11,197     ","10,588     ",609     ,5.4
CN0102100000000,01,021,"Chilton County, AL",2015,"19,021     ","17,943     ","1,078     ",5.7
CN0102300000000,01,023,"Choctaw County, AL",2015,"4,378     ","3,979     ",399     ,9.1
CN0102500000000,01,025,"Clarke County, AL",2015,"7,994     ","7,054     ",940     ,11.8
CN0102700000000,01,027,"Clay County, AL",2015,"5,526     ","5,186     ",340     ,6.2
CN0102900000000,01,029,"Cleburne County, AL",2015,"5,665     ","5,324     ",341     ,6.0
CN0103100000000,01,031,"Coffee County, AL",2015,"20,310     ","19,109     ","1,201     ",5.9
CN0103300000000,01,033,"Colbert County, AL",2015,"23,586     ","21,722     ","1,864     ",7.9
CN0103500000000,01,035,"Conecuh County, AL",2015,"4,674     ","4,245     ",429     ,9.2
CN0103700000000,01,037,"Coosa County, AL",2015,"4,431     ","4,133     ",298     ,6.7
CN0103900000000,01,039,"Covington County, AL",2015,"15,456     ","14,355     ","1,101     ",7.1
CN0104100000000,01,041,"Crenshaw County, AL",2015,"6,352     ","5,970     ",382     ,6.0
CN0104300000000,01,043,"Cullman County, AL",2015,"36,181     ","34,273     ","1,908     ",5.3
CN0104500000000,01,045,"Dale County, AL",2015,"19,758     ","18,503     ","1,255     ",6.4
CN0104700000000,01,047,"Dallas County, AL",2015,"15,566     ","14,064     ","1,502     ",9.6
CN0104900000000,01,049,"DeKalb County, AL",2015,"28,858     ","27,118     ","1,740     ",6.0
CN0105100000000,01,051,"Elmore County, AL",2015,"36,075     ","34,236     ","1,839     ",5.1
CN0105300000000,01,053,"Escambia County, AL",2015,"14,575     ","13,555     ","1,020     ",7.0
CN0105500000000,01,055,"Etowah County, AL",2015,"43,203     ","40,559     ","2,644     ",6.1
CN0105700000000,01,057,"Fayette County, AL",2015,"6,396     ","5,948     ",448     ,7.0
CN0105900000000,01,059,"Franklin County, AL",2015,"13,615     ","12,744     ",871     ,6.4
CN0106100000000,01,061,"Geneva County, AL",2015,"10,806     ","10,173     ",633     ,5.9
CN0106300000000,01,063,"Greene County, AL",2015,"2,895     ","2,576     ",319     ,11.0
CN0106500000000,01,065,"Hale County, AL",2015,"6,102     ","5,624     ",478     ,7.8
CN0106700000000,01,067,"Henry County, AL",2015,"6,735     ","6,279     ",456     ,6.8
CN0106900000000,01,069,"Houston County, AL",2015,"44,743     ","41,978     ","2,765     ",6.2
CN0107100000000,01,071,"Jackson County, AL",2015,"23,512     ","21,963     ","1,549     ",6.6
CN0107300000000,01,073,"Jefferson County, AL",2015,"309,229     ","291,303     ","17,926     ",5.8
CN0107500000000,01,075,"Lamar County, AL",2015,"5,633     ","5,278     ",355     ,6.3
CN0107700000000,01,077,"Lauderdale County, AL",2015,"42,714     ","39,750     ","2,964     ",6.9
CN0107900000000,01,079,"Lawrence County, AL",2015,"13,864     ","12,802     ","1,062     ",7.7
CN0108100000000,01,081,"Lee County, AL",2015,"71,548     ","67,888     ","3,660     ",5.1
CN0108300000000,01,083,"Limestone County, AL",2015,"39,607     ","37,445     ","2,162     ",5.5
CN0108500000000,01,085,"Lowndes County, AL",2015,"3,824     ","3,381     ",443     ,11.6
CN0108700000000,01,087,"Macon County, AL",2015,"7,978     ","7,334     ",644     ,8.1
CN0108900000000,01,089,"Madison County, AL",2015,"169,738     ","160,435     ","9,303     ",5.5
CN0109100000000,01,091,"Marengo County, AL",2015,"7,357     ","6,787     ",570     ,7.7
CN0109300000000,01,093,"Marion County, AL",2015,"12,439     ","11,569     ",870     ,7.0
CN0109500000000,01,095,"Marshall County, AL",2015,"40,348     ","38,019     ","2,329     ",5.8
CN0109700000000,01,097,"Mobile County, AL",2015,"183,097     ","170,286     ","12,811     ",7.0
CN0109900000000,01,099,"Monroe County, AL",2015,"7,301     ","6,565     ",736     ,10.1
CN0110100000000,01,101,"Montgomery County, AL",2015,"103,579     ","97,194     ","6,385     ",6.2
CN0110300000000,01,103,"Morgan County, AL",2015,"55,106     ","51,888     ","3,218     ",5.8
CN0110500000000,01,105,"Perry County, AL",2015,"3,501     ","3,152     ",349     ,10.0
CN0110700000000,01,107,"Pickens County, AL",2015,"7,820     ","7,291     ",529     ,6.8
CN0110900000000,01,109,"Pike County, AL",2015,"14,929     ","13,923     ","1,006     ",6.7
CN0111100000000,01,111,"Randolph County, AL",2015,"9,443     ","8,888     ",555     ,5.9
CN0111300000000,01,113,"Russell County, AL",2015,"24,283     ","22,823     ","1,460     ",6.0
CN0111500000000,01,115,"St. Clair County, AL",2015,"38,172     ","36,171     ","2,001     ",5.2
CN0111700000000,01,117,"Shelby County, AL",2015,"106,491     ","101,981     ","4,510     ",4.2
CN0111900000000,01,119,"Sumter County, AL",2015,"5,109     ","4,702     ",407     ,8.0
CN0112100000000,01,121,"Talladega County, AL",2015,"35,169     ","32,859     ","2,310     ",6.6
CN0112300000000,01,123,"Tallapoosa County, AL",2015,"18,717     ","17,570     ","1,147     ",6.1
CN0112500000000,01,125,"Tuscaloosa County, AL",2015,"98,051     ","92,704     ","5,347     ",5.5
CN0112700000000,01,127,"Walker County, AL",2015,"25,476     ","23,637     ","1,839     ",7.2
CN0112900000000,01,129,"Washington County, AL",2015,"6,702     ","6,108     ",594     ,8.9
CN0113100000000,01,131,"Wilcox County, AL",2015,"2,812     ","2,400     ",412     ,14.7
CN0113300000000,01,133,"Winston County, AL",2015,"9,367     ","8,655     ",712     ,7.6
CN0201300000000,02,013,"Aleutians East Borough, AK",2015,"2,469     ","2,389     ",80     ,3.2
CN0201600000000,02,016,"Aleutians West Census Area, AK",2015,"4,095     ","3,938     ",157     ,3.8
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2015,"158,216     ","150,301     ","7,915     ",5.0
CN0205000000000,02,050,"Bethel Census Area, AK",2015,"7,315     ","6,260     ","1,055     ",14.4
CN0206000000000,02,060,"Bristol Bay Borough, AK",2015,390     ,354     ,36     ,9.2
CN0206800000000,02,068,"Denali Borough, AK",2015,"1,064     ",971     ,93     ,8.7
CN0207000000000,02,070,"Dillingham Census Area, AK",2015,"2,036     ","1,839     ",197     ,9.7
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2015,"46,486     ","43,959     ","2,527     ",5.4
CN0210000000000,02,100,"Haines Borough, AK",2015,"1,098     ",991     ,107     ,9.7
CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2015,"1,135     ",965     ,170     ,15.0
CN0211000000000,02,110,"Juneau Borough/city, AK",2015,"17,308     ","16,508     ",800     ,4.6
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2015,"27,486     ","25,331     ","2,155     ",7.8
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2015,"7,023     ","6,546     ",477     ,6.8
CN0215000000000,02,150,"Kodiak Island Borough, AK",2015,"6,540     ","6,221     ",319     ,4.9
CN0215800000000,02,158,"Kusilvak Census Area, AK",2015,"2,788     ","2,142     ",646     ,23.2
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2015,637     ,556     ,81     ,12.7
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2015,"44,865     ","41,360     ","3,505     ",7.8
CN0218000000000,02,180,"Nome Census Area, AK",2015,"4,159     ","3,674     ",485     ,11.7
CN0218500000000,02,185,"North Slope Borough, AK",2015,"4,424     ","4,178     ",246     ,5.6
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2015,"2,978     ","2,515     ",463     ,15.5
CN0219500000000,02,195,"Petersburg Borough, AK",2015,"1,524     ","1,389     ",135     ,8.9
CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2015,"2,792     ","2,444     ",348     ,12.5
CN0222000000000,02,220,"Sitka Borough/city, AK",2015,"4,638     ","4,427     ",211     ,4.5
CN0223000000000,02,230,"Skagway Municipality, AK",2015,810     ,717     ,93     ,11.5
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2015,"2,963     ","2,642     ",321     ,10.8
CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2015,"4,820     ","4,396     ",424     ,8.8
CN0227500000000,02,275,"Wrangell Borough/city, AK",2015,"1,042     ",961     ,81     ,7.8
CN0228200000000,02,282,"Yakutat Borough/city, AK",2015,266     ,244     ,22     ,8.3
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2015,"2,451     ","2,009     ",442     ,18.0
CN0400100000000,04,001,"Apache County, AZ",2015,"20,686     ","17,913     ","2,773     ",13.4
CN0400300000000,04,003,"Cochise County, AZ",2015,"50,040     ","46,325     ","3,715     ",7.4
CN0400500000000,04,005,"Coconino County, AZ",2015,"73,041     ","68,255     ","4,786     ",6.6
CN0400700000000,04,007,"Gila County, AZ",2015,"21,243     ","19,552     ","1,691     ",8.0
CN0400900000000,04,009,"Graham County, AZ",2015,"14,649     ","13,563     ","1,086     ",7.4
CN0401100000000,04,011,"Greenlee County, AZ",2015,"4,037     ","3,717     ",320     ,7.9
CN0401200000000,04,012,"La Paz County, AZ",2015,"8,164     ","7,542     ",622     ,7.6
CN0401300000000,04,013,"Maricopa County, AZ",2015,"2,007,847     ","1,903,920     ","103,927     ",5.2
CN0401500000000,04,015,"Mohave County, AZ",2015,"79,310     ","72,947     ","6,363     ",8.0
CN0401700000000,04,017,"Navajo County, AZ",2015,"40,995     ","37,023     ","3,972     ",9.7
CN0401900000000,04,019,"Pima County, AZ",2015,"464,150     ","438,363     ","25,787     ",5.6
CN0402100000000,04,021,"Pinal County, AZ",2015,"157,284     ","147,321     ","9,963     ",6.3
CN0402300000000,04,023,"Santa Cruz County, AZ",2015,"20,013     ","17,710     ","2,303     ",11.5
CN0402500000000,04,025,"Yavapai County, AZ",2015,"97,545     ","92,111     ","5,434     ",5.6
CN0402700000000,04,027,"Yuma County, AZ",2015,"93,702     ","73,256     ","20,446     ",21.8
CN0500100000000,05,001,"Arkansas County, AR",2015,"9,441     ","9,027     ",414     ,4.4
CN0500300000000,05,003,"Ashley County, AR",2015,"8,216     ","7,561     ",655     ,8.0
CN0500500000000,05,005,"Baxter County, AR",2015,"16,272     ","15,349     ",923     ,5.7
CN0500700000000,05,007,"Benton County, AR",2015,"120,331     ","115,664     ","4,667     ",3.9
CN0500900000000,05,009,"Boone County, AR",2015,"15,787     ","14,985     ",802     ,5.1
CN0501100000000,05,011,"Bradley County, AR",2015,"4,435     ","4,159     ",276     ,6.2
CN0501300000000,05,013,"Calhoun County, AR",2015,"2,360     ","2,223     ",137     ,5.8
CN0501500000000,05,015,"Carroll County, AR",2015,"12,576     ","11,978     ",598     ,4.8
CN0501700000000,05,017,"Chicot County, AR",2015,"3,734     ","3,384     ",350     ,9.4
CN0501900000000,05,019,"Clark County, AR",2015,"9,463     ","8,922     ",541     ,5.7
CN0502100000000,05,021,"Clay County, AR",2015,"6,315     ","5,882     ",433     ,6.9
CN0502300000000,05,023,"Cleburne County, AR",2015,"9,607     ","8,916     ",691     ,7.2
CN0502500000000,05,025,"Cleveland County, AR",2015,"3,416     ","3,219     ",197     ,5.8
CN0502700000000,05,027,"Columbia County, AR",2015,"9,522     ","8,879     ",643     ,6.8
CN0502900000000,05,029,"Conway County, AR",2015,"8,635     ","8,090     ",545     ,6.3
CN0503100000000,05,031,"Craighead County, AR",2015,"50,611     ","48,289     ","2,322     ",4.6
CN0503300000000,05,033,"Crawford County, AR",2015,"26,897     ","25,452     ","1,445     ",5.4
CN0503500000000,05,035,"Crittenden County, AR",2015,"21,593     ","20,220     ","1,373     ",6.4
CN0503700000000,05,037,"Cross County, AR",2015,"8,091     ","7,635     ",456     ,5.6
CN0503900000000,05,039,"Dallas County, AR",2015,"2,886     ","2,671     ",215     ,7.4
CN0504100000000,05,041,"Desha County, AR",2015,"5,569     ","5,147     ",422     ,7.6
CN0504300000000,05,043,"Drew County, AR",2015,"7,940     ","7,373     ",567     ,7.1
CN0504500000000,05,045,"Faulkner County, AR",2015,"59,655     ","56,767     ","2,888     ",4.8
CN0504700000000,05,047,"Franklin County, AR",2015,"7,415     ","7,033     ",382     ,5.2
CN0504900000000,05,049,"Fulton County, AR",2015,"4,798     ","4,541     ",257     ,5.4
CN0505100000000,05,051,"Garland County, AR",2015,"40,046     ","37,778     ","2,268     ",5.7
CN0505300000000,05,053,"Grant County, AR",2015,"8,291     ","7,902     ",389     ,4.7
CN0505500000000,05,055,"Greene County, AR",2015,"19,986     ","18,917     ","1,069     ",5.3
CN0505700000000,05,057,"Hempstead County, AR",2015,"9,834     ","9,326     ",508     ,5.2
CN0505900000000,05,059,"Hot Spring County, AR",2015,"14,210     ","13,471     ",739     ,5.2
CN0506100000000,05,061,"Howard County, AR",2015,"6,050     ","5,784     ",266     ,4.4
CN0506300000000,05,063,"Independence County, AR",2015,"15,600     ","14,554     ","1,046     ",6.7
CN0506500000000,05,065,"Izard County, AR",2015,"4,988     ","4,646     ",342     ,6.9
CN0506700000000,05,067,"Jackson County, AR",2015,"6,199     ","5,715     ",484     ,7.8
CN0506900000000,05,069,"Jefferson County, AR",2015,"29,115     ","27,005     ","2,110     ",7.2
CN0507100000000,05,071,"Johnson County, AR",2015,"10,378     ","9,758     ",620     ,6.0
CN0507300000000,05,073,"Lafayette County, AR",2015,"2,634     ","2,426     ",208     ,7.9
CN0507500000000,05,075,"Lawrence County, AR",2015,"7,034     ","6,594     ",440     ,6.3
CN0507700000000,05,077,"Lee County, AR",2015,"3,209     ","2,987     ",222     ,6.9
CN0507900000000,05,079,"Lincoln County, AR",2015,"4,178     ","3,913     ",265     ,6.3
CN0508100000000,05,081,"Little River County, AR",2015,"5,626     ","5,308     ",318     ,5.7
CN0508300000000,05,083,"Logan County, AR",2015,"9,204     ","8,657     ",547     ,5.9
CN0508500000000,05,085,"Lonoke County, AR",2015,"33,019     ","31,583     ","1,436     ",4.3
CN0508700000000,05,087,"Madison County, AR",2015,"7,176     ","6,894     ",282     ,3.9
CN0508900000000,05,089,"Marion County, AR",2015,"6,533     ","6,177     ",356     ,5.4
CN0509100000000,05,091,"Miller County, AR",2015,"19,710     ","18,684     ","1,026     ",5.2
CN0509300000000,05,093,"Mississippi County, AR",2015,"18,418     ","16,701     ","1,717     ",9.3
CN0509500000000,05,095,"Monroe County, AR",2015,"2,993     ","2,805     ",188     ,6.3
CN0509700000000,05,097,"Montgomery County, AR",2015,"3,261     ","3,033     ",228     ,7.0
CN0509900000000,05,099,"Nevada County, AR",2015,"3,653     ","3,463     ",190     ,5.2
CN0510100000000,05,101,"Newton County, AR",2015,"3,383     ","3,212     ",171     ,5.1
CN0510300000000,05,103,"Ouachita County, AR",2015,"9,902     ","9,246     ",656     ,6.6
CN0510500000000,05,105,"Perry County, AR",2015,"4,233     ","3,966     ",267     ,6.3
CN0510700000000,05,107,"Phillips County, AR",2015,"6,986     ","6,433     ",553     ,7.9
CN0510900000000,05,109,"Pike County, AR",2015,"4,180     ","3,921     ",259     ,6.2
CN0511100000000,05,111,"Poinsett County, AR",2015,"10,241     ","9,657     ",584     ,5.7
CN0511300000000,05,113,"Polk County, AR",2015,"8,326     ","7,827     ",499     ,6.0
CN0511500000000,05,115,"Pope County, AR",2015,"29,554     ","27,928     ","1,626     ",5.5
CN0511700000000,05,117,"Prairie County, AR",2015,"3,751     ","3,570     ",181     ,4.8
CN0511900000000,05,119,"Pulaski County, AR",2015,"186,455     ","177,629     ","8,826     ",4.7
CN0512100000000,05,121,"Randolph County, AR",2015,"6,183     ","5,725     ",458     ,7.4
CN0512300000000,05,123,"St. Francis County, AR",2015,"8,952     ","8,282     ",670     ,7.5
CN0512500000000,05,125,"Saline County, AR",2015,"55,273     ","52,931     ","2,342     ",4.2
CN0512700000000,05,127,"Scott County, AR",2015,"4,512     ","4,287     ",225     ,5.0
CN0512900000000,05,129,"Searcy County, AR",2015,"3,056     ","2,878     ",178     ,5.8
CN0513100000000,05,131,"Sebastian County, AR",2015,"57,390     ","54,522     ","2,868     ",5.0
CN0513300000000,05,133,"Sevier County, AR",2015,"5,631     ","5,273     ",358     ,6.4
CN0513500000000,05,135,"Sharp County, AR",2015,"6,004     ","5,575     ",429     ,7.1
CN0513700000000,05,137,"Stone County, AR",2015,"4,681     ","4,376     ",305     ,6.5
CN0513900000000,05,139,"Union County, AR",2015,"16,780     ","15,707     ","1,073     ",6.4
CN0514100000000,05,141,"Van Buren County, AR",2015,"6,458     ","6,009     ",449     ,7.0
CN0514300000000,05,143,"Washington County, AR",2015,"114,790     ","110,649     ","4,141     ",3.6
CN0514500000000,05,145,"White County, AR",2015,"34,405     ","32,180     ","2,225     ",6.5
CN0514700000000,05,147,"Woodruff County, AR",2015,"3,042     ","2,838     ",204     ,6.7
CN0514900000000,05,149,"Yell County, AR",2015,"9,024     ","8,548     ",476     ,5.3
CN0600100000000,06,001,"Alameda County, CA",2015,"824,809     ","785,676     ","39,133     ",4.7
CN0600300000000,06,003,"Alpine County, CA",2015,520     ,479     ,41     ,7.9
CN0600500000000,06,005,"Amador County, CA",2015,"14,404     ","13,448     ",956     ,6.6
CN0600700000000,06,007,"Butte County, CA",2015,"101,731     ","94,397     ","7,334     ",7.2
CN0600900000000,06,009,"Calaveras County, CA",2015,"20,614     ","19,284     ","1,330     ",6.5
CN0601100000000,06,011,"Colusa County, CA",2015,"11,193     ","9,475     ","1,718     ",15.3
CN0601300000000,06,013,"Contra Costa County, CA",2015,"549,948     ","522,418     ","27,530     ",5.0
CN0601500000000,06,015,"Del Norte County, CA",2015,"9,915     ","9,062     ",853     ,8.6
CN0601700000000,06,017,"El Dorado County, CA",2015,"89,121     ","84,070     ","5,051     ",5.7
CN0601900000000,06,019,"Fresno County, CA",2015,"444,168     ","398,906     ","45,262     ",10.2
CN0602100000000,06,021,"Glenn County, CA",2015,"13,110     ","11,965     ","1,145     ",8.7
CN0602300000000,06,023,"Humboldt County, CA",2015,"62,633     ","59,108     ","3,525     ",5.6
CN0602500000000,06,025,"Imperial County, CA",2015,"78,910     ","59,965     ","18,945     ",24.0
CN0602700000000,06,027,"Inyo County, CA",2015,"9,181     ","8,646     ",535     ,5.8
CN0602900000000,06,029,"Kern County, CA",2015,"393,764     ","353,552     ","40,212     ",10.2
CN0603100000000,06,031,"Kings County, CA",2015,"58,354     ","52,234     ","6,120     ",10.5
CN0603300000000,06,033,"Lake County, CA",2015,"29,140     ","26,905     ","2,235     ",7.7
CN0603500000000,06,035,"Lassen County, CA",2015,"10,891     ","10,099     ",792     ,7.3
CN0603700000000,06,037,"Los Angeles County, CA",2015,"5,011,707     ","4,674,847     ","336,860     ",6.7
CN0603900000000,06,039,"Madera County, CA",2015,"60,566     ","54,209     ","6,357     ",10.5
CN0604100000000,06,041,"Marin County, CA",2015,"141,123     ","136,124     ","4,999     ",3.5
CN0604300000000,06,043,"Mariposa County, CA",2015,"8,084     ","7,501     ",583     ,7.2
CN0604500000000,06,045,"Mendocino County, CA",2015,"40,207     ","37,853     ","2,354     ",5.9
CN0604700000000,06,047,"Merced County, CA",2015,"115,086     ","102,023     ","13,063     ",11.4
CN0604900000000,06,049,"Modoc County, CA",2015,"3,276     ","2,989     ",287     ,8.8
CN0605100000000,06,051,"Mono County, CA",2015,"8,336     ","7,824     ",512     ,6.1
CN0605300000000,06,053,"Monterey County, CA",2015,"221,383     ","203,508     ","17,875     ",8.1
CN0605500000000,06,055,"Napa County, CA",2015,"74,752     ","71,310     ","3,442     ",4.6
CN0605700000000,06,057,"Nevada County, CA",2015,"48,444     ","45,800     ","2,644     ",5.5
CN0605900000000,06,059,"Orange County, CA",2015,"1,597,071     ","1,525,564     ","71,507     ",4.5
CN0606100000000,06,061,"Placer County, CA",2015,"178,176     ","169,188     ","8,988     ",5.0
CN0606300000000,06,063,"Plumas County, CA",2015,"7,946     ","7,123     ",823     ,10.4
CN0606500000000,06,065,"Riverside County, CA",2015,"1,035,178     ","965,533     ","69,645     ",6.7
CN0606700000000,06,067,"Sacramento County, CA",2015,"688,999     ","647,624     ","41,375     ",6.0
CN0606900000000,06,069,"San Benito County, CA",2015,"29,763     ","27,493     ","2,270     ",7.6
CN0607100000000,06,071,"San Bernardino County, CA",2015,"926,641     ","866,793     ","59,848     ",6.5
CN0607300000000,06,073,"San Diego County, CA",2015,"1,563,836     ","1,482,528     ","81,308     ",5.2
CN0607500000000,06,075,"San Francisco County/city, CA",2015,"548,004     ","528,074     ","19,930     ",3.6
CN0607700000000,06,077,"San Joaquin County, CA",2015,"316,903     ","288,776     ","28,127     ",8.9
CN0607900000000,06,079,"San Luis Obispo County, CA",2015,"143,293     ","136,645     ","6,648     ",4.6
CN0608100000000,06,081,"San Mateo County, CA",2015,"441,966     ","426,964     ","15,002     ",3.4
CN0608300000000,06,083,"Santa Barbara County, CA",2015,"220,001     ","208,393     ","11,608     ",5.3
CN0608500000000,06,085,"Santa Clara County, CA",2015,"1,018,407     ","976,091     ","42,316     ",4.2
CN0608700000000,06,087,"Santa Cruz County, CA",2015,"144,248     ","133,432     ","10,816     ",7.5
CN0608900000000,06,089,"Shasta County, CA",2015,"74,858     ","69,016     ","5,842     ",7.8
CN0609100000000,06,091,"Sierra County, CA",2015,"1,351     ","1,230     ",121     ,9.0
CN0609300000000,06,093,"Siskiyou County, CA",2015,"18,064     ","16,370     ","1,694     ",9.4
CN0609500000000,06,095,"Solano County, CA",2015,"206,604     ","193,954     ","12,650     ",6.1
CN0609700000000,06,097,"Sonoma County, CA",2015,"260,344     ","248,664     ","11,680     ",4.5
CN0609900000000,06,099,"Stanislaus County, CA",2015,"242,710     ","219,637     ","23,073     ",9.5
CN0610100000000,06,101,"Sutter County, CA",2015,"44,824     ","40,000     ","4,824     ",10.8
CN0610300000000,06,103,"Tehama County, CA",2015,"25,190     ","23,186     ","2,004     ",8.0
CN0610500000000,06,105,"Trinity County, CA",2015,"5,216     ","4,809     ",407     ,7.8
CN0610700000000,06,107,"Tulare County, CA",2015,"203,392     ","179,671     ","23,721     ",11.7
CN0610900000000,06,109,"Tuolumne County, CA",2015,"21,627     ","20,086     ","1,541     ",7.1
CN0611100000000,06,111,"Ventura County, CA",2015,"429,784     ","405,349     ","24,435     ",5.7
CN0611300000000,06,113,"Yolo County, CA",2015,"103,868     ","97,209     ","6,659     ",6.4
CN0611500000000,06,115,"Yuba County, CA",2015,"28,137     ","25,537     ","2,600     ",9.2
CN0800100000000,08,001,"Adams County, CO",2015,"247,538     ","236,817     ","10,721     ",4.3
CN0800300000000,08,003,"Alamosa County, CO",2015,"7,639     ","7,245     ",394     ,5.2
CN0800500000000,08,005,"Arapahoe County, CO",2015,"334,800     ","322,352     ","12,448     ",3.7
CN0800700000000,08,007,"Archuleta County, CO",2015,"6,065     ","5,820     ",245     ,4.0
CN0800900000000,08,009,"Baca County, CO",2015,"1,986     ","1,944     ",42     ,2.1
CN0801100000000,08,011,"Bent County, CO",2015,"1,720     ","1,653     ",67     ,3.9
CN0801300000000,08,013,"Boulder County, CO",2015,"176,726     ","171,127     ","5,599     ",3.2
CN0801400000000,08,014,"Broomfield County/city, CO",2015,"34,673     ","33,516     ","1,157     ",3.3
CN0801500000000,08,015,"Chaffee County, CO",2015,"8,502     ","8,212     ",290     ,3.4
CN0801700000000,08,017,"Cheyenne County, CO",2015,"1,026     ",998     ,28     ,2.7
CN0801900000000,08,019,"Clear Creek County, CO",2015,"5,591     ","5,386     ",205     ,3.7
CN0802100000000,08,021,"Conejos County, CO",2015,"3,720     ","3,511     ",209     ,5.6
CN0802300000000,08,023,"Costilla County, CO",2015,"1,630     ","1,524     ",106     ,6.5
CN0802500000000,08,025,"Crowley County, CO",2015,"1,311     ","1,252     ",59     ,4.5
CN0802700000000,08,027,"Custer County, CO",2015,"2,004     ","1,933     ",71     ,3.5
CN0802900000000,08,029,"Delta County, CO",2015,"13,603     ","12,829     ",774     ,5.7
CN0803100000000,08,031,"Denver County/city, CO",2015,"373,109     ","359,291     ","13,818     ",3.7
CN0803300000000,08,033,"Dolores County, CO",2015,"1,371     ","1,329     ",42     ,3.1
CN0803500000000,08,035,"Douglas County, CO",2015,"171,569     ","166,268     ","5,301     ",3.1
CN0803700000000,08,037,"Eagle County, CO",2015,"32,910     ","31,883     ","1,027     ",3.1
CN0803900000000,08,039,"Elbert County, CO",2015,"13,242     ","12,826     ",416     ,3.1
CN0804100000000,08,041,"El Paso County, CO",2015,"307,936     ","293,736     ","14,200     ",4.6
CN0804300000000,08,043,"Fremont County, CO",2015,"14,636     ","13,733     ",903     ,6.2
CN0804500000000,08,045,"Garfield County, CO",2015,"30,581     ","29,316     ","1,265     ",4.1
CN0804700000000,08,047,"Gilpin County, CO",2015,"3,483     ","3,375     ",108     ,3.1
CN0804900000000,08,049,"Grand County, CO",2015,"9,175     ","8,883     ",292     ,3.2
CN0805100000000,08,051,"Gunnison County, CO",2015,"9,835     ","9,547     ",288     ,2.9
CN0805300000000,08,053,"Hinsdale County, CO",2015,440     ,427     ,13     ,3.0
CN0805500000000,08,055,"Huerfano County, CO",2015,"2,383     ","2,199     ",184     ,7.7
CN0805700000000,08,057,"Jackson County, CO",2015,840     ,809     ,31     ,3.7
CN0805900000000,08,059,"Jefferson County, CO",2015,"311,470     ","300,513     ","10,957     ",3.5
CN0806100000000,08,061,"Kiowa County, CO",2015,793     ,772     ,21     ,2.6
CN0806300000000,08,063,"Kit Carson County, CO",2015,"4,404     ","4,297     ",107     ,2.4
CN0806500000000,08,065,"Lake County, CO",2015,"4,606     ","4,430     ",176     ,3.8
CN0806700000000,08,067,"La Plata County, CO",2015,"30,068     ","29,029     ","1,039     ",3.5
CN0806900000000,08,069,"Larimer County, CO",2015,"180,306     ","174,364     ","5,942     ",3.3
CN0807100000000,08,071,"Las Animas County, CO",2015,"6,203     ","5,855     ",348     ,5.6
CN0807300000000,08,073,"Lincoln County, CO",2015,"2,178     ","2,104     ",74     ,3.4
CN0807500000000,08,075,"Logan County, CO",2015,"11,047     ","10,704     ",343     ,3.1
CN0807700000000,08,077,"Mesa County, CO",2015,"72,039     ","68,042     ","3,997     ",5.5
CN0807900000000,08,079,"Mineral County, CO",2015,437     ,421     ,16     ,3.7
CN0808100000000,08,081,"Moffat County, CO",2015,"7,169     ","6,845     ",324     ,4.5
CN0808300000000,08,083,"Montezuma County, CO",2015,"12,483     ","11,781     ",702     ,5.6
CN0808500000000,08,085,"Montrose County, CO",2015,"19,514     ","18,525     ",989     ,5.1
CN0808700000000,08,087,"Morgan County, CO",2015,"14,808     ","14,246     ",562     ,3.8
CN0808900000000,08,089,"Otero County, CO",2015,"7,988     ","7,526     ",462     ,5.8
CN0809100000000,08,091,"Ouray County, CO",2015,"2,179     ","2,086     ",93     ,4.3
CN0809300000000,08,093,"Park County, CO",2015,"9,470     ","9,145     ",325     ,3.4
CN0809500000000,08,095,"Phillips County, CO",2015,"2,392     ","2,335     ",57     ,2.4
