                               Labor Force Data by County, 2017 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0505500000000   05     055   Greene County, AR                                 2017        19,805       19,082        723      3.7
CN0505700000000   05     057   Hempstead County, AR                              2017         9,897        9,555        342      3.5
CN0505900000000   05     059   Hot Spring County, AR                             2017        14,188       13,665        523      3.7
CN0506100000000   05     061   Howard County, AR                                 2017         5,952        5,771        181      3.0
CN0506300000000   05     063   Independence County, AR                           2017        16,231       15,546        685      4.2
CN0506500000000   05     065   Izard County, AR                                  2017         4,908        4,640        268      5.5
CN0506700000000   05     067   Jackson County, AR                                2017         5,916        5,570        346      5.8
CN0506900000000   05     069   Jefferson County, AR                              2017        28,059       26,605      1,454      5.2
CN0507100000000   05     071   Johnson County, AR                                2017        10,640       10,189        451      4.2
CN0507300000000   05     073   Lafayette County, AR                              2017         2,521        2,393        128      5.1
CN0507500000000   05     075   Lawrence County, AR                               2017         6,918        6,657        261      3.8
CN0507700000000   05     077   Lee County, AR                                    2017         2,976        2,832        144      4.8
CN0507900000000   05     079   Lincoln County, AR                                2017         4,036        3,867        169      4.2
CN0508100000000   05     081   Little River County, AR                           2017         5,591        5,323        268      4.8
CN0508300000000   05     083   Logan County, AR                                  2017         8,947        8,604        343      3.8
CN0508500000000   05     085   Lonoke County, AR                                 2017        33,887       32,785      1,102      3.3
CN0508700000000   05     087   Madison County, AR                                2017         7,458        7,249        209      2.8
CN0508900000000   05     089   Marion County, AR                                 2017         6,495        6,239        256      3.9
CN0509100000000   05     091   Miller County, AR                                 2017        19,862       19,006        856      4.3
CN0509300000000   05     093   Mississippi County, AR                            2017        17,908       16,845      1,063      5.9
CN0509500000000   05     095   Monroe County, AR                                 2017         2,820        2,700        120      4.3
CN0509700000000   05     097   Montgomery County, AR                             2017         3,069        2,921        148      4.8
CN0509900000000   05     099   Nevada County, AR                                 2017         3,615        3,487        128      3.5
CN0510100000000   05     101   Newton County, AR                                 2017         3,380        3,259        121      3.6
CN0510300000000   05     103   Ouachita County, AR                               2017         9,795        9,347        448      4.6
CN0510500000000   05     105   Perry County, AR                                  2017         4,202        4,027        175      4.2
CN0510700000000   05     107   Phillips County, AR                               2017         6,574        6,192        382      5.8
CN0510900000000   05     109   Pike County, AR                                   2017         4,285        4,111        174      4.1
CN0511100000000   05     111   Poinsett County, AR                               2017        10,347        9,921        426      4.1
CN0511300000000   05     113   Polk County, AR                                   2017         8,033        7,672        361      4.5
CN0511500000000   05     115   Pope County, AR                                   2017        29,336       28,044      1,292      4.4
CN0511700000000   05     117   Prairie County, AR                                2017         3,732        3,581        151      4.0
CN0511900000000   05     119   Pulaski County, AR                                2017       190,086      183,669      6,417      3.4
CN0512100000000   05     121   Randolph County, AR                               2017         6,936        6,648        288      4.2
CN0512300000000   05     123   St. Francis County, AR                            2017         8,410        7,983        427      5.1
CN0512500000000   05     125   Saline County, AR                                 2017        57,787       56,056      1,731      3.0
CN0512700000000   05     127   Scott County, AR                                  2017         4,423        4,272        151      3.4
CN0512900000000   05     129   Searcy County, AR                                 2017         2,946        2,812        134      4.5
CN0513100000000   05     131   Sebastian County, AR                              2017        57,210       55,146      2,064      3.6
CN0513300000000   05     133   Sevier County, AR                                 2017         5,650        5,395        255      4.5
CN0513500000000   05     135   Sharp County, AR                                  2017         6,054        5,756        298      4.9
CN0513700000000   05     137   Stone County, AR                                  2017         4,827        4,598        229      4.7
CN0513900000000   05     139   Union County, AR                                  2017        16,138       15,285        853      5.3
CN0514100000000   05     141   Van Buren County, AR                              2017         6,089        5,759        330      5.4
CN0514300000000   05     143   Washington County, AR                             2017       122,329      119,232      3,097      2.5
CN0514500000000   05     145   White County, AR                                  2017        33,810       32,280      1,530      4.5
CN0514700000000   05     147   Woodruff County, AR                               2017         2,950        2,807        143      4.8
CN0514900000000   05     149   Yell County, AR                                   2017         8,650        8,304        346      4.0
CN0600100000000   06     001   Alameda County, CA                                2017       848,335      817,433     30,902      3.6
CN0600300000000   06     003   Alpine County, CA                                 2017           538          505         33      6.1
CN0600500000000   06     005   Amador County, CA                                 2017        14,783       14,059        724      4.9
CN0600700000000   06     007   Butte County, CA                                  2017       102,982       97,066      5,916      5.7
CN0600900000000   06     009   Calaveras County, CA                              2017        21,184       20,183      1,001      4.7
CN0601100000000   06     011   Colusa County, CA                                 2017        10,759        9,216      1,543     14.3
CN0601300000000   06     013   Contra Costa County, CA                           2017       563,863      542,445     21,418      3.8
CN0601500000000   06     015   Del Norte County, CA                              2017         9,780        9,151        629      6.4
CN0601700000000   06     017   El Dorado County, CA                              2017        89,886       85,966      3,920      4.4
CN0601900000000   06     019   Fresno County, CA                                 2017       449,595      411,525     38,070      8.5
CN0602100000000   06     021   Glenn County, CA                                  2017        12,915       11,952        963      7.5
CN0602300000000   06     023   Humboldt County, CA                               2017        63,019       60,380      2,639      4.2
CN0602500000000   06     025   Imperial County, CA                               2017        73,980       59,875     14,105     19.1
CN0602700000000   06     027   Inyo County, CA                                   2017         8,682        8,301        381      4.4
CN0602900000000   06     029   Kern County, CA                                   2017       384,944      349,502     35,442      9.2
CN0603100000000   06     031   Kings County, CA                                  2017        57,714       52,595      5,119      8.9
CN0603300000000   06     033   Lake County, CA                                   2017        29,714       28,008      1,706      5.7
CN0603500000000   06     035   Lassen County, CA                                 2017        10,005        9,447        558      5.6
CN0603700000000   06     037   Los Angeles County, CA                            2017     5,123,933    4,883,640    240,293      4.7
CN0603900000000   06     039   Madera County, CA                                 2017        61,443       56,494      4,949      8.1
CN0604100000000   06     041   Marin County, CA                                  2017       141,308      137,270      4,038      2.9
CN0604300000000   06     043   Mariposa County, CA                               2017         7,647        7,196        451      5.9
CN0604500000000   06     045   Mendocino County, CA                              2017        40,003       38,210      1,793      4.5
CN0604700000000   06     047   Merced County, CA                                 2017       116,088      105,287     10,801      9.3
CN0604900000000   06     049   Modoc County, CA                                  2017         3,230        2,970        260      8.0
CN0605100000000   06     051   Mono County, CA                                   2017         8,568        8,188        380      4.4
CN0605300000000   06     053   Monterey County, CA                               2017       220,120      204,309     15,811      7.2
CN0605500000000   06     055   Napa County, CA                                   2017        73,873       71,172      2,701      3.7
CN0605700000000   06     057   Nevada County, CA                                 2017        48,659       46,661      1,998      4.1
CN0605900000000   06     059   Orange County, CA                                 2017     1,618,828    1,562,201     56,627      3.5
CN0606100000000   06     061   Placer County, CA                                 2017       182,169      175,165      7,004      3.8
CN0606300000000   06     063   Plumas County, CA                                 2017         7,803        7,111        692      8.9
CN0606500000000   06     065   Riverside County, CA                              2017     1,073,843    1,017,591     56,252      5.2
CN0606700000000   06     067   Sacramento County, CA                             2017       702,049      669,469     32,580      4.6
CN0606900000000   06     069   San Benito County, CA                             2017        30,317       28,552      1,765      5.8
CN0607100000000   06     071   San Bernardino County, CA                         2017       950,765      904,183     46,582      4.9
CN0607300000000   06     073   San Diego County, CA                              2017     1,584,655    1,521,190     63,465      4.0
CN0607500000000   06     075   San Francisco County/city, CA                     2017       568,722      552,223     16,499      2.9
CN0607700000000   06     077   San Joaquin County, CA                            2017       324,788      302,176     22,612      7.0
CN0607900000000   06     079   San Luis Obispo County, CA                        2017       142,066      136,977      5,089      3.6
CN0608100000000   06     081   San Mateo County, CA                              2017       452,445      440,324     12,121      2.7
CN0608300000000   06     083   Santa Barbara County, CA                          2017       216,954      207,213      9,741      4.5
CN0608500000000   06     085   Santa Clara County, CA                            2017     1,040,558    1,007,143     33,415      3.2
CN0608700000000   06     087   Santa Cruz County, CA                             2017       143,802      135,648      8,154      5.7
CN0608900000000   06     089   Shasta County, CA                                 2017        74,476       70,155      4,321      5.8
CN0609100000000   06     091   Sierra County, CA                                 2017         1,301        1,216         85      6.5
CN0609300000000   06     093   Siskiyou County, CA                               2017        17,963       16,662      1,301      7.2
CN0609500000000   06     095   Solano County, CA                                 2017       209,199      199,257      9,942      4.8
CN0609700000000   06     097   Sonoma County, CA                                 2017       262,807      253,972      8,835      3.4
CN0609900000000   06     099   Stanislaus County, CA                             2017       243,235      225,070     18,165      7.5
CN0610100000000   06     101   Sutter County, CA                                 2017        45,739       41,804      3,935      8.6
CN0610300000000   06     103   Tehama County, CA                                 2017        25,598       23,968      1,630      6.4
CN0610500000000   06     105   Trinity County, CA                                2017         4,991        4,690        301      6.0
CN0610700000000   06     107   Tulare County, CA                                 2017       205,423      184,022     21,401     10.4
CN0610900000000   06     109   Tuolumne County, CA                               2017        21,477       20,319      1,158      5.4
CN0611100000000   06     111   Ventura County, CA                                2017       426,116      406,976     19,140      4.5
CN0611300000000   06     113   Yolo County, CA                                   2017       107,775      102,373      5,402      5.0
CN0611500000000   06     115   Yuba County, CA                                   2017        28,546       26,421      2,125      7.4
CN0800100000000   08     001   Adams County, CO                                  2017       261,302      253,318      7,984      3.1
CN0800300000000   08     003   Alamosa County, CO                                2017         8,230        7,948        282      3.4
CN0800500000000   08     005   Arapahoe County, CO                               2017       351,417      341,647      9,770      2.8
CN0800700000000   08     007   Archuleta County, CO                              2017         6,593        6,395        198      3.0
CN0800900000000   08     009   Baca County, CO                                   2017         2,138        2,103         35      1.6
CN0801100000000   08     011   Bent County, CO                                   2017         1,925        1,873         52      2.7
CN0801300000000   08     013   Boulder County, CO                                2017       186,852      182,316      4,536      2.4
CN0801400000000   08     014   Broomfield County/city, CO                        2017        37,971       36,974        997      2.6
CN0801500000000   08     015   Chaffee County, CO                                2017         9,318        9,101        217      2.3
CN0801700000000   08     017   Cheyenne County, CO                               2017         1,145        1,125         20      1.7
CN0801900000000   08     019   Clear Creek County, CO                            2017         5,853        5,700        153      2.6
CN0802100000000   08     021   Conejos County, CO                                2017         3,920        3,755        165      4.2
CN0802300000000   08     023   Costilla County, CO                               2017         1,832        1,767         65      3.5
CN0802500000000   08     025   Crowley County, CO                                2017         1,458        1,413         45      3.1
CN0802700000000   08     027   Custer County, CO                                 2017         2,015        1,954         61      3.0
CN0802900000000   08     029   Delta County, CO                                  2017        14,357       13,798        559      3.9
CN0803100000000   08     031   Denver County/city, CO                            2017       397,166      386,225     10,941      2.8
CN0803300000000   08     033   Dolores County, CO                                2017         1,138        1,104         34      3.0
CN0803500000000   08     035   Douglas County, CO                                2017       183,263      178,882      4,381      2.4
CN0803700000000   08     037   Eagle County, CO                                  2017        35,052       34,240        812      2.3
CN0803900000000   08     039   Elbert County, CO                                 2017        14,330       13,981        349      2.4
CN0804100000000   08     041   El Paso County, CO                                2017       326,663      315,997     10,666      3.3
CN0804300000000   08     043   Fremont County, CO                                2017        15,084       14,437        647      4.3
CN0804500000000   08     045   Garfield County, CO                               2017        31,778       30,863        915      2.9
CN0804700000000   08     047   Gilpin County, CO                                 2017         3,594        3,521         73      2.0
CN0804900000000   08     049   Grand County, CO                                  2017         9,598        9,383        215      2.2
CN0805100000000   08     051   Gunnison County, CO                               2017        10,714       10,500        214      2.0
CN0805300000000   08     053   Hinsdale County, CO                               2017           492          481         11      2.2
CN0805500000000   08     055   Huerfano County, CO                               2017         2,580        2,432        148      5.7
CN0805700000000   08     057   Jackson County, CO                                2017           963          946         17      1.8
CN0805900000000   08     059   Jefferson County, CO                              2017       325,390      316,839      8,551      2.6
CN0806100000000   08     061   Kiowa County, CO                                  2017           942          925         17      1.8
CN0806300000000   08     063   Kit Carson County, CO                             2017         4,606        4,522         84      1.8
CN0806500000000   08     065   Lake County, CO                                   2017         4,731        4,629        102      2.2
CN0806700000000   08     067   La Plata County, CO                               2017        31,713       30,936        777      2.5
CN0806900000000   08     069   Larimer County, CO                                2017       195,084      190,337      4,747      2.4
CN0807100000000   08     071   Las Animas County, CO                             2017         6,277        6,023        254      4.0
CN0807300000000   08     073   Lincoln County, CO                                2017         2,404        2,353         51      2.1
CN0807500000000   08     075   Logan County, CO                                  2017        11,213       10,950        263      2.3
CN0807700000000   08     077   Mesa County, CO                                   2017        73,877       70,937      2,940      4.0
CN0807900000000   08     079   Mineral County, CO                                2017           453          444          9      2.0
CN0808100000000   08     081   Moffat County, CO                                 2017         7,375        7,130        245      3.3
CN0808300000000   08     083   Montezuma County, CO                              2017        12,998       12,478        520      4.0
CN0808500000000   08     085   Montrose County, CO                               2017        20,925       20,234        691      3.3
CN0808700000000   08     087   Morgan County, CO                                 2017        15,716       15,332        384      2.4
CN0808900000000   08     089   Otero County, CO                                  2017         8,352        8,006        346      4.1
CN0809100000000   08     091   Ouray County, CO                                  2017         2,291        2,225         66      2.9
CN0809300000000   08     093   Park County, CO                                   2017        10,153        9,909        244      2.4
CN0809500000000   08     095   Phillips County, CO                               2017         2,597        2,554         43      1.7
CN0809700000000   08     097   Pitkin County, CO                                 2017        11,032       10,691        341      3.1
CN0809900000000   08     099   Prowers County, CO                                2017         6,216        6,053        163      2.6
CN0810100000000   08     101   Pueblo County, CO                                 2017        74,580       71,353      3,227      4.3
CN0810300000000   08     103   Rio Blanco County, CO                             2017         2,822        2,713        109      3.9
CN0810500000000   08     105   Rio Grande County, CO                             2017         5,445        5,209        236      4.3
CN0810700000000   08     107   Routt County, CO                                  2017        15,577       15,206        371      2.4
CN0810900000000   08     109   Saguache County, CO                               2017         3,404        3,253        151      4.4
CN0811100000000   08     111   San Juan County, CO                               2017           538          526         12      2.2
CN0811300000000   08     113   San Miguel County, CO                             2017         5,397        5,243        154      2.9
CN0811500000000   08     115   Sedgwick County, CO                               2017         1,214        1,187         27      2.2
CN0811700000000   08     117   Summit County, CO                                 2017        22,008       21,598        410      1.9
CN0811900000000   08     119   Teller County, CO                                 2017        12,170       11,776        394      3.2
CN0812100000000   08     121   Washington County, CO                             2017         3,054        2,995         59      1.9
CN0812300000000   08     123   Weld County, CO                                   2017       157,286      153,092      4,194      2.7
CN0812500000000   08     125   Yuma County, CO                                   2017         5,726        5,633         93      1.6
CN0900100000000   09     001   Fairfield County, CT                              2017       485,357      463,484     21,873      4.5
CN0900300000000   09     003   Hartford County, CT                               2017       481,242      457,937     23,305      4.8
CN0900500000000   09     005   Litchfield County, CT                             2017       105,736      101,180      4,556      4.3
CN0900700000000   09     007   Middlesex County, CT                              2017        93,686       89,889      3,797      4.1
CN0900900000000   09     009   New Haven County, CT                              2017       462,382      439,130     23,252      5.0
CN0901100000000   09     011   New London County, CT                             2017       139,444      133,191      6,253      4.5
CN0901300000000   09     013   Tolland County, CT                                2017        86,570       83,107      3,463      4.0
CN0901500000000   09     015   Windham County, CT                                2017        64,159       60,939      3,220      5.0
CN1000100000000   10     001   Kent County, DE                                   2017        78,132       74,246      3,886      5.0
CN1000300000000   10     003   New Castle County, DE                             2017       296,289      282,959     13,330      4.5
CN1000500000000   10     005   Sussex County, DE                                 2017       102,929       98,223      4,706      4.6
CN1100100000000   11     001   District of Columbia                              2017       400,894      376,633     24,261      6.1
CN1200100000000   12     001   Alachua County, FL                                2017       136,013      130,980      5,033      3.7
CN1200300000000   12     003   Baker County, FL                                  2017        11,794       11,316        478      4.1
CN1200500000000   12     005   Bay County, FL                                    2017        88,900       85,261      3,639      4.1
CN1200700000000   12     007   Bradford County, FL                               2017        11,293       10,885        408      3.6
CN1200900000000   12     009   Brevard County, FL                                2017       268,757      257,365     11,392      4.2
CN1201100000000   12     011   Broward County, FL                                2017     1,026,330      986,586     39,744      3.9
CN1201300000000   12     013   Calhoun County, FL                                2017         4,933        4,692        241      4.9
CN1201500000000   12     015   Charlotte County, FL                              2017        70,269       67,028      3,241      4.6
CN1201700000000   12     017   Citrus County, FL                                 2017        47,901       45,134      2,767      5.8
CN1201900000000   12     019   Clay County, FL                                   2017       104,588      100,617      3,971      3.8
CN1202100000000   12     021   Collier County, FL                                2017       171,979      164,974      7,005      4.1
CN1202300000000   12     023   Columbia County, FL                               2017        29,419       28,160      1,259      4.3
CN1202700000000   12     027   DeSoto County, FL                                 2017        13,833       13,225        608      4.4
CN1202900000000   12     029   Dixie County, FL                                  2017         5,800        5,536        264      4.6
CN1203100000000   12     031   Duval County, FL                                  2017       483,717      463,724     19,993      4.1
